sexe,age,arrondissement,bureau,visite_score,communication,satisfait_score,la foule,Manque des employé,mauvaise maniere Traitement,les_horaires,jourFoule
1,1,AGDAL,AGDALLAMTIYINE,0,0,1,1,1,1,1,3
1,1,ZOUGHA,ZOUGHA,1,0,3,1,1,1,2,1
0,1,ZOUGHA,ZOUGHA,1,0,4,1,1,1,2,1
0,1,AGDAL,SIDI BRAHIMLAMTIYINE,1,0,2,1,0,1,1,1
1,1,ZOUGHA,ZOUGHA,0,0,1,1,0,1,2,1
0,1,MERINIDES,BEN DABBAB :,2,0,2,1,0,1,2,1
1,1,FES-MEDINA,BAB LKHOUKHA,0,1,0,1,0,1,1,1
0,1,FES-MEDINA,BAB LKHOUKHA,1,0,2,1,0,1,1,1
0,1,FES-MEDINA,ANDALOUS,0,0,1,0,0,1,1,2
1,1,AGDAL,DAR DBIBAGHANDALOUS,1,0,0,1,1,1,1,1
0,1,FES-MEDINA,BATHA,1,0,0,1,1,1,1,1
0,1,JNAN EL WARD,SAHB LWARD,2,1,0,1,0,1,1,1
1,2,SAISS,NARJISS,1,0,2,1,0,0,2,2
0,1,MERINIDES,DHAR LAKHMISS,0,1,0,0,0,1,2,1
1,1,SAISS,ZOUHOUR,1,0,1,0,0,1,1,5
1,1,SAISS,NARJISS,1,0,0,0,0,1,1,1
0,1,FES-MEDINA,BAB LKHOUKHA,1,0,1,1,0,1,3,1
0,1,FES-MEDINA,BATHA,1,1,2,0,0,1,1,5
1,1,FES-MEDINA,ANDALOUS,2,0,0,1,1,1,2,2
0,1,AGDAL,AGDALANDALOUS,1,0,2,0,0,1,1,1
1,1,ZOUGHA,ZOUGHA,2,0,2,0,1,0,2,5
0,1,JNAN EL WARD,SIDI BOUJIDA,1,0,0,0,0,1,1,1
0,1,ZOUGHA,ZOUGHA,0,0,1,1,0,0,1,1
0,1,ZOUGHA,ZOUGHA,0,0,1,0,0,1,,
1,3,JNAN EL WARD,SAHB LWARD,2,1,0,0,0,1,,
1,1,FES-MEDINA,KARAOUIYINE,0,0,2,0,0,1,,
0,1,ZOUGHA,ZOUGHA,0,0,1,1,0,0,1,1
